epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,194.517,0.79028,0.45244,0.94556,0.99659,0.88889,0.92302,0.80994,0.66909,0.4781,0.86194,0.0008714,0.0008714,0.0008714
116,196.113,0.76083,0.45402,0.95193,0.99659,0.88889,0.92155,0.79366,0.73092,0.4555,0.86983,0.0008615,0.0008615,0.0008615
117,197.803,0.78878,0.46526,0.96677,0.99659,0.88889,0.92302,0.81185,0.69581,0.4402,0.86401,0.0008516,0.0008516,0.0008516
118,199.385,0.78029,0.45917,0.93715,0.99659,0.88889,0.92155,0.83412,0.60751,0.41576,0.84871,0.0008417,0.0008417,0.0008417
119,201.127,0.78903,0.45288,0.96525,0.99658,0.88889,0.9282,0.83367,0.60196,0.40609,0.84726,0.0008318,0.0008318,0.0008318
120,202.837,0.74564,0.44119,0.93616,0.99679,0.88889,0.93026,0.82836,0.62732,0.4201,0.85382,0.0008219,0.0008219,0.0008219
121,204.442,0.78207,0.45253,0.96583,0.99677,0.88889,0.93026,0.82954,0.66581,0.46653,0.8632,0.000812,0.000812,0.000812
122,206.114,0.7776,0.43525,0.96504,0.99665,0.88889,0.93026,0.83314,0.59207,0.41002,0.84614,0.0008021,0.0008021,0.0008021
123,207.769,0.7591,0.45317,0.94258,0.99654,0.88889,0.92632,0.83586,0.546,0.38374,0.83905,0.0007922,0.0007922,0.0007922
124,209.504,0.82055,0.47154,0.98656,0.99656,0.88889,0.92302,0.82815,0.57736,0.38569,0.84572,0.0007823,0.0007823,0.0007823
125,211.094,0.73951,0.43783,0.95309,0.99654,0.88889,0.9202,0.8233,0.59187,0.39066,0.85049,0.0007724,0.0007724,0.0007724
126,212.807,0.76106,0.42893,0.94383,0.99652,0.88889,0.91777,0.7933,0.61958,0.40984,0.85196,0.0007625,0.0007625,0.0007625
127,214.531,0.74128,0.41889,0.93762,0.99669,0.88889,0.91566,0.80401,0.59605,0.40627,0.84826,0.0007526,0.0007526,0.0007526
128,216.145,0.76658,0.45625,0.96187,0.99669,0.88889,0.91668,0.81757,0.5704,0.36846,0.84679,0.0007427,0.0007427,0.0007427
129,217.897,0.76766,0.44756,0.954,0.99666,0.88889,0.91777,0.81975,0.58595,0.38203,0.85082,0.0007328,0.0007328,0.0007328
130,219.505,0.75623,0.43379,0.96564,0.99648,0.88889,0.91566,0.80357,0.63481,0.43682,0.86233,0.0007229,0.0007229,0.0007229
131,221.204,0.6981,0.40218,0.92292,0.99622,0.88889,0.9138,0.79433,0.7039,0.48396,0.87818,0.000713,0.000713,0.000713
132,222.9,0.71861,0.40918,0.93307,0.99581,0.88889,0.9202,0.80709,0.63037,0.41583,0.85351,0.0007031,0.0007031,0.0007031
133,224.525,0.76106,0.43451,0.95396,0.99578,0.88889,0.91894,0.80109,0.65611,0.43619,0.87002,0.0006932,0.0006932,0.0006932
134,226.229,0.72494,0.40583,0.92343,0.99606,0.88889,0.92302,0.81325,0.67356,0.47907,0.8824,0.0006833,0.0006833,0.0006833
135,227.911,0.72763,0.41723,0.93805,0.99643,0.88889,0.91566,0.79007,0.70574,0.45989,0.87715,0.0006734,0.0006734,0.0006734
136,229.664,0.72965,0.41526,0.92825,0.99662,0.88889,0.91777,0.79078,0.71372,0.44559,0.88368,0.0006635,0.0006635,0.0006635
137,232.268,0.72021,0.42201,0.93995,0.99659,0.88889,0.91777,0.78214,0.70874,0.44424,0.88071,0.0006536,0.0006536,0.0006536
138,235.243,0.7046,0.41771,0.92621,0.99664,0.88889,0.91215,0.79892,0.68112,0.39822,0.85309,0.0006437,0.0006437,0.0006437
139,238.474,0.68926,0.40965,0.91761,0.99658,0.88889,0.90612,0.77938,0.71139,0.41075,0.85694,0.0006338,0.0006338,0.0006338
140,241.05,0.72266,0.44489,0.94694,0.99653,0.88889,0.90818,0.79053,0.65022,0.39239,0.84458,0.0006239,0.0006239,0.0006239
141,243.305,0.68938,0.41792,0.9397,0.99657,0.88889,0.91295,0.80286,0.63018,0.38411,0.84343,0.000614,0.000614,0.000614
142,245.959,0.70484,0.40755,0.93492,0.99668,0.88889,0.91668,0.80993,0.64152,0.40254,0.85197,0.0006041,0.0006041,0.0006041
143,247.752,0.74222,0.42452,0.93823,0.99664,0.88889,0.91668,0.80068,0.64858,0.44296,0.85837,0.0005942,0.0005942,0.0005942
144,252.158,0.70908,0.40534,0.92549,0.99642,0.88889,0.91777,0.80158,0.60888,0.43978,0.85157,0.0005843,0.0005843,0.0005843
145,254.742,0.71168,0.40347,0.95356,0.99643,0.88889,0.91566,0.81944,0.61042,0.43724,0.85189,0.0005744,0.0005744,0.0005744
146,256.406,0.71869,0.4201,0.93694,0.99644,0.88889,0.91894,0.80839,0.5964,0.38018,0.83462,0.0005645,0.0005645,0.0005645
147,258.231,0.71247,0.42104,0.95421,0.99658,0.88889,0.91894,0.80739,0.62043,0.37906,0.83984,0.0005546,0.0005546,0.0005546
148,260.005,0.67543,0.38928,0.93409,0.99666,0.88889,0.9202,0.81249,0.62946,0.38791,0.83918,0.0005447,0.0005447,0.0005447
149,261.784,0.68916,0.40113,0.91278,0.99674,0.88889,0.91894,0.81269,0.64819,0.42035,0.84743,0.0005348,0.0005348,0.0005348
150,263.455,0.72481,0.4174,0.92047,0.99676,0.88889,0.91894,0.81148,0.61992,0.42838,0.84359,0.0005249,0.0005249,0.0005249
151,265.305,0.72885,0.42467,0.95912,0.99674,0.88889,0.91894,0.84885,0.56661,0.40655,0.83725,0.000515,0.000515,0.000515
152,267.254,0.67034,0.40016,0.9015,0.99667,0.88889,0.92155,0.82811,0.60132,0.40481,0.84586,0.0005051,0.0005051,0.0005051
153,268.963,0.70155,0.41451,0.93247,0.99666,0.88889,0.92302,0.82909,0.6183,0.40106,0.84844,0.0004952,0.0004952,0.0004952
154,270.767,0.65191,0.40403,0.92323,0.99659,0.88889,0.9246,0.81677,0.6316,0.38972,0.84662,0.0004853,0.0004853,0.0004853
155,272.485,0.67317,0.39154,0.93508,0.99661,0.88889,0.92632,0.82173,0.63283,0.38682,0.85048,0.0004754,0.0004754,0.0004754
156,274.484,0.65053,0.38346,0.92406,0.99662,0.88889,0.9246,0.81924,0.59029,0.39254,0.84037,0.0004655,0.0004655,0.0004655
157,276.108,0.68196,0.40353,0.94415,0.99667,0.88889,0.9246,0.82236,0.55146,0.37447,0.83072,0.0004556,0.0004556,0.0004556
158,277.861,0.64703,0.37825,0.91746,0.99666,0.88889,0.9282,0.83316,0.53808,0.35285,0.82667,0.0004457,0.0004457,0.0004457
159,279.494,0.61669,0.38601,0.90788,0.99671,0.88889,0.92632,0.8258,0.59512,0.37199,0.8427,0.0004358,0.0004358,0.0004358
160,281.396,0.64258,0.37639,0.90022,0.99662,0.88889,0.93026,0.82179,0.62827,0.3891,0.85038,0.0004259,0.0004259,0.0004259
161,283.144,0.6381,0.37337,0.90375,0.99663,0.88889,0.9282,0.82169,0.61315,0.38113,0.84665,0.000416,0.000416,0.000416
162,284.973,0.67381,0.38737,0.89715,0.99666,0.88889,0.92632,0.81844,0.57927,0.37491,0.84018,0.0004061,0.0004061,0.0004061
163,286.734,0.66073,0.39387,0.92637,0.99666,0.88889,0.9246,0.83714,0.55774,0.40605,0.8402,0.0003962,0.0003962,0.0003962
164,288.412,0.70029,0.4036,0.9441,0.99668,0.88889,0.91894,0.81647,0.55844,0.39276,0.83852,0.0003863,0.0003863,0.0003863
165,290.207,0.60969,0.36302,0.89592,0.99664,0.88889,0.91894,0.81114,0.58189,0.38632,0.84182,0.0003764,0.0003764,0.0003764
166,292.084,0.63578,0.36968,0.92664,0.99671,0.88889,0.91566,0.8003,0.63598,0.41266,0.85316,0.0003665,0.0003665,0.0003665
167,293.923,0.69286,0.38941,0.92305,0.99671,0.88889,0.9138,0.79652,0.64061,0.41431,0.85263,0.0003566,0.0003566,0.0003566
168,295.6,0.6651,0.37372,0.9095,0.99668,0.88889,0.91295,0.80666,0.61119,0.39369,0.84244,0.0003467,0.0003467,0.0003467
169,297.401,0.64334,0.37385,0.92646,0.99668,0.88889,0.9138,0.8057,0.62367,0.42121,0.8485,0.0003368,0.0003368,0.0003368
170,299.088,0.58524,0.37592,0.88449,0.99663,0.88889,0.9138,0.82028,0.6131,0.41728,0.84454,0.0003269,0.0003269,0.0003269
171,300.819,0.62613,0.38102,0.89451,0.99662,0.88889,0.91668,0.81591,0.60882,0.37788,0.83878,0.000317,0.000317,0.000317
172,302.496,0.60272,0.36768,0.90159,0.9967,0.88889,0.91894,0.8196,0.62811,0.38753,0.84195,0.0003071,0.0003071,0.0003071
173,304.14,0.62456,0.3682,0.90556,0.99668,0.88889,0.9202,0.81704,0.6314,0.38494,0.84199,0.0002972,0.0002972,0.0002972
174,305.851,0.64303,0.37435,0.93544,0.9967,0.88889,0.92155,0.81751,0.59297,0.36244,0.83511,0.0002873,0.0002873,0.0002873
175,307.465,0.65007,0.36771,0.90958,0.99668,0.88889,0.91777,0.82611,0.57571,0.35449,0.82902,0.0002774,0.0002774,0.0002774
176,309.154,0.62441,0.36052,0.88959,0.99671,0.88889,0.91894,0.81954,0.5882,0.35669,0.83121,0.0002675,0.0002675,0.0002675
177,310.739,0.63513,0.37359,0.9206,0.99668,0.88889,0.91777,0.81892,0.58431,0.35441,0.82896,0.0002576,0.0002576,0.0002576
178,312.401,0.59087,0.35464,0.91107,0.99675,0.88889,0.92155,0.81814,0.59792,0.36385,0.83283,0.0002477,0.0002477,0.0002477
179,314.136,0.627,0.3697,0.88228,0.99678,0.88889,0.92302,0.8091,0.61417,0.35783,0.83467,0.0002378,0.0002378,0.0002378
